Ano,Código da Área,Área de Avaliação,Código da IES,Nome da IES,Categoria Administrativa,Modalidade de Ensino,Município do Curso,Estado,Concluintes Inscritos,Concluintes Participantes,Conceito Enade (Contínuo),Conceito Enade (Faixa)
2014,702,MATEMÁTICA (LICENCIATURA),5036,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE",,,RIO DO SUL,SC,16,16,3.1596555368237,4.0
2014,702,MATEMÁTICA (LICENCIATURA),5036,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE",,,SOMBRIO,SC,27,27,2.4799807997523,3.0
2014,702,MATEMÁTICA (LICENCIATURA),5077,UNIVERSIDADE ESTADUAL DE RORAIMA,,,BOA VISTA,RR,28,27,1.13649733281924,2.0
2014,702,MATEMÁTICA (LICENCIATURA),5242,UNIVERSIDADE ESTADUAL DE ALAGOAS - UNEAL,,,ARAPIRACA,AL,77,46,1.53883937970011,2.0
2014,702,MATEMÁTICA (LICENCIATURA),5242,UNIVERSIDADE ESTADUAL DE ALAGOAS - UNEAL,,,PALMEIRA DO INDIOS,AL,67,60,0.923711266534313,1.0
2014,702,MATEMÁTICA (LICENCIATURA),5285,FACULDADES INTEGRADAS DE TAQUARA,,,TAQUARA,RS,23,20,3.2316640899493,4.0
2014,702,MATEMÁTICA (LICENCIATURA),5312,FACULDADES ATIBAIA,,,ATIBAIA,SP,25,24,2.18534911786714,3.0
2014,702,MATEMÁTICA (LICENCIATURA),5317,FACULDADE PORTO-ALEGRENSE,,,PORTO ALEGRE,RS,3,3,0.994671030996601,2.0
2014,702,MATEMÁTICA (LICENCIATURA),5322,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA - UNIPAMPA,,,BAGE,RS,17,17,2.22391242519111,3.0
2014,702,MATEMÁTICA (LICENCIATURA),5369,FACULDADES INTEGRADAS ASMEC,,,OURO FINO,MG,14,13,2.38912387171106,3.0
2014,702,MATEMÁTICA (LICENCIATURA),5537,FACULDADES VALE DO CARANGOLA - FAVALE,,,CARANGOLA,MG,14,14,2.16517491403764,3.0
2014,702,MATEMÁTICA (LICENCIATURA),5671,CENTRO UNIVERSITÁRIO SÃO JOSÉ DE ITAPERUNA,,,ITAPERUNA,RJ,18,17,1.57328891871285,2.0
2014,702,MATEMÁTICA (LICENCIATURA),10009,FAMAC - FACULDADE DE MACHADINHO DO OESTE,,,MACHADINHO D´OESTE,RO,55,29,0.973498598285079,2.0
2014,702,MATEMÁTICA (LICENCIATURA),11951,FACULDADE DO SERTÃO BAIANO ,,,MONTE SANTO,BA,30,30,2.09490127687985,3.0
2014,702,MATEMÁTICA (LICENCIATURA),15015,Universidade Estadual do Norte do Paraná,,,CORNELIO PROCOPIO,PR,22,18,1.39142069638994,2.0
2014,702,MATEMÁTICA (LICENCIATURA),15015,Universidade Estadual do Norte do Paraná,,,JACAREZINHO,PR,22,22,2.69683612632366,3.0
2014,702,MATEMÁTICA (LICENCIATURA),15032,UNIVERSIDADE ALTO VALE DO RIO DO PEIXE,,,CACADOR,SC,11,11,1.31784261596367,2.0
2014,702,MATEMÁTICA (LICENCIATURA),15059,UNIVERSIDADE FEDERAL DO OESTE DO PARÁ,,,SANTAREM,PA,42,33,2.04928874876205,3.0
2014,702,MATEMÁTICA (LICENCIATURA),15507,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",,,CRUZEIRO DO SUL,AC,19,16,1.9011902850345,2.0
2014,702,MATEMÁTICA (LICENCIATURA),17165,FACULDADE UNILAGOS,,,MANGUEIRINHA,PR,14,14,1.55480250810396,2.0
2014,702,MATEMÁTICA (LICENCIATURA),18440,UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARÁ,,,MARABA,PA,61,57,0.988690543851152,2.0
2014,702,MATEMÁTICA (LICENCIATURA),18492,Universidade Estadual do Paraná,,,APUCARANA,PR,15,14,3.11707503736017,4.0
2014,702,MATEMÁTICA (LICENCIATURA),18492,Universidade Estadual do Paraná,,,CAMPO MOURAO,PR,11,11,3.61930151514104,4.0
2014,702,MATEMÁTICA (LICENCIATURA),18492,Universidade Estadual do Paraná,,,PARANAGUA,PR,30,27,1.65798401142418,2.0
2014,702,MATEMÁTICA (LICENCIATURA),18492,Universidade Estadual do Paraná,,,PARANAVAI,PR,33,30,1.72106826833064,2.0
2014,702,MATEMÁTICA (LICENCIATURA),18492,Universidade Estadual do Paraná,,,UNIAO DA VITORIA,PR,24,22,3.31399609200596,4.0
2014,702,MATEMÁTICA (LICENCIATURA),18506,UNIVERSIDADE FEDERAL DO OESTE DA BAHIA,,,BARREIRAS,BA,1,1,0.0,0.0
